xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
0.1;1.09932;1.09932;0.987378;0.987378;-6.61803e-08;4.20957e-08;0.1;8.36628e-08;7.05923e-08;4.49021e-08;0;1
0.3;1.2955;1.2955;0.977132;0.977132;-1.15295e-06;2.86958e-07;0.2;1.26733e-06;1.22981e-06;3.06088e-07;0;2
0.7;1.68696;1.68696;0.981842;0.981857;2.75107e-06;-1.59174e-05;0.4;1.72303e-05;2.93448e-06;1.69786e-05;0;3
1.5;2.45474;2.45404;0.898453;0.897774;0.000696258;0.000679628;0.8;0.00103783;0.000742676;0.000724937;0;4
3.1;3.39318;3.36477;0.230061;0.196922;0.0284104;0.0331389;1.6;0.0465601;0.0303044;0.0353481;0;4
4.7;3.38088;3.34771;-0.19029;-0.167923;0.0331729;-0.0223672;1.6;0.0426764;0.0353844;0.0238583;0;4
6.3;3.12531;3.12524;-0.105343;-0.0896491;6.81903e-05;-0.0156941;1.6;0.0167405;7.27364e-05;0.0167404;0;4
7.9;3.07254;3.08194;0.0296921;0.0267877;-0.00939169;0.00290447;1.6;0.0104859;0.0100178;0.0030981;0;4
9.5;3.13139;3.13345;0.0352854;0.0302749;-0.00205849;0.00501051;1.6;0.00577801;0.00219572;0.00534455;0;4
