xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2
5.503;3.39072;3.39072;-0.0198143;-0.0198142;6.41553e-08;-6.14379e-08;0.128;9.47505e-08;6.84324e-08;6.55338e-08;1;8
5.631;3.38641;3.38641;-0.0468337;-0.0468337;5.57819e-08;-6.17159e-08;0.128;8.87353e-08;5.95007e-08;6.58303e-08;1;8
5.759;3.3789;3.3789;-0.0699089;-0.0699089;4.77226e-08;-6.11382e-08;0.128;8.27291e-08;5.09041e-08;6.52141e-08;1;8
5.887;3.36867;3.36867;-0.0891679;-0.0891679;4.00302e-08;-5.97664e-08;0.128;7.67291e-08;4.26989e-08;6.37508e-08;1;8
6.015;3.35622;3.35622;-0.104779;-0.104778;3.27376e-08;-5.76714e-08;0.128;7.07364e-08;3.49201e-08;6.15161e-08;1;8
6.143;3.342;3.342;-0.116941;-0.116941;2.58669e-08;-5.4935e-08;0.128;6.47683e-08;2.75914e-08;5.85973e-08;1;8
6.271;3.32642;3.32642;-0.125882;-0.125882;1.94354e-08;-5.16489e-08;0.128;5.88636e-08;2.07311e-08;5.50922e-08;1;8
6.399;3.3099;3.3099;-0.131849;-0.131848;1.34589e-08;-4.79122e-08;0.128;5.30844e-08;1.43561e-08;5.11063e-08;1;8
6.527;3.29279;3.29279;-0.135102;-0.135102;7.9533e-09;-4.38279e-08;0.128;4.75133e-08;8.48352e-09;4.67498e-08;1;9
6.783;3.25809;3.25809;-0.134559;-0.134558;7.45792e-08;-1.24574e-06;0.256;1.33117e-06;7.95512e-08;1.32879e-06;1;9
7.039;3.22454;3.22454;-0.126453;-0.126452;-1.94718e-07;-9.56795e-07;0.256;1.0415e-06;2.07699e-07;1.02058e-06;1;9
7.295;3.1938;3.1938;-0.112931;-0.112931;-3.97465e-07;-6.74076e-07;0.256;8.34701e-07;4.23962e-07;7.19014e-07;1;9
7.551;3.16701;3.16701;-0.0959788;-0.0959784;-5.3493e-07;-4.14563e-07;0.256;7.21884e-07;5.70592e-07;4.422e-07;1;9
7.807;3.1448;3.14481;-0.0773376;-0.0773374;-6.12019e-07;-1.89374e-07;0.256;6.83358e-07;6.5282e-07;2.01999e-07;1;9
8.063;3.12743;3.12743;-0.0584592;-0.0584592;-6.36712e-07;-4.35224e-09;0.256;6.79175e-07;6.79159e-07;4.64239e-09;1;9
8.319;3.11479;3.11479;-0.040483;-0.0404831;-6.18923e-07;1.38838e-07;0.256;6.76591e-07;6.60184e-07;1.48094e-07;1;9
8.575;3.10655;3.10655;-0.0242394;-0.0242397;-5.6924e-07;2.41555e-07;0.256;6.59596e-07;6.0719e-07;2.57659e-07;1;9
8.831;3.10219;3.10219;-0.0102713;-0.0102716;-4.97883e-07;3.07199e-07;0.256;6.24031e-07;5.31075e-07;3.27679e-07;1;9
9.087;3.10107;3.10107;0.00113237;0.00113203;-4.14009e-07;3.40455e-07;0.256;5.7175e-07;4.41609e-07;3.63152e-07;1;9
9.343;3.10254;3.10254;0.00989548;0.00989513;-3.25349e-07;3.46732e-07;0.256;5.07172e-07;3.47039e-07;3.69848e-07;1;9
9.599;3.10592;3.10592;0.0161108;0.0161105;-2.38088e-07;3.31722e-07;0.256;4.35542e-07;2.5396e-07;3.53837e-07;1;9
9.855;3.11059;3.11059;0.0199965;0.0199962;-1.56893e-07;3.01047e-07;0.256;3.62109e-07;1.67353e-07;3.21116e-07;1;9
