xi;vi1;vi2
0.221;0.199897;0.822833
0.222;0.200719;0.82221
0.223;0.201541;0.821588
0.224;0.202362;0.820967
0.225;0.203183;0.820348
0.226;0.204003;0.81973
0.227;0.204822;0.819114
0.228;0.205641;0.818498
0.229;0.206459;0.817885
0.23;0.207277;0.817273
0.231;0.208094;0.816662
0.232;0.20891;0.816053
0.233;0.209726;0.815445
0.234;0.210541;0.814838
0.235;0.211356;0.814233
0.236;0.21217;0.813629
0.237;0.212983;0.813027
0.238;0.213796;0.812426
0.239;0.214608;0.811826
0.24;0.215419;0.811228
0.241;0.21623;0.810631
0.242;0.217041;0.810036
0.243;0.21785;0.809442
0.244;0.218659;0.808849
0.245;0.219468;0.808258
0.246;0.220276;0.807668
0.247;0.221083;0.80708
0.248;0.22189;0.806493
0.249;0.222696;0.805907
0.25;0.223502;0.805323
0.251;0.224307;0.80474
0.252;0.225111;0.804158
0.253;0.225915;0.803578
0.254;0.226719;0.802999
0.255;0.227521;0.802421
0.256;0.228323;0.801845
0.257;0.229125;0.80127
0.258;0.229926;0.800697
0.259;0.230726;0.800125
0.26;0.231526;0.799554
0.261;0.232326;0.798985
0.262;0.233124;0.798416
0.263;0.233922;0.79785
0.264;0.23472;0.797284
0.265;0.235517;0.79672
0.266;0.236313;0.796158
0.267;0.237109;0.795596
0.268;0.237905;0.795036
0.269;0.238699;0.794477
0.27;0.239494;0.79392
0.271;0.240287;0.793364
0.272;0.24108;0.792809
0.273;0.241873;0.792256
0.274;0.242665;0.791704
0.275;0.243456;0.791153
0.276;0.244247;0.790604
0.277;0.245037;0.790056
0.278;0.245827;0.789509
0.279;0.246616;0.788963
0.28;0.247405;0.788419
0.281;0.248193;0.787876
0.282;0.248981;0.787335
0.283;0.249768;0.786794
0.284;0.250554;0.786255
0.285;0.25134;0.785718
0.286;0.252126;0.785181
0.287;0.252911;0.784646
0.288;0.253695;0.784113
0.289;0.254479;0.78358
0.29;0.255262;0.783049
0.291;0.256045;0.782519
0.292;0.256827;0.78199
0.293;0.257609;0.781463
0.294;0.25839;0.780937
0.295;0.259171;0.780412
0.296;0.259951;0.779889
0.297;0.260731;0.779366
0.298;0.26151;0.778845
0.299;0.262288;0.778326
0.3;0.263066;0.777807
0.301;0.263844;0.77729
0.302;0.264621;0.776774
0.303;0.265398;0.77626
0.304;0.266174;0.775746
0.305;0.266949;0.775234
0.306;0.267724;0.774724
0.307;0.268499;0.774214
0.308;0.269272;0.773706
0.309;0.270046;0.773199
0.31;0.270819;0.772693
0.311;0.271591;0.772188
0.312;0.272363;0.771685
0.313;0.273135;0.771183
0.314;0.273906;0.770682
0.315;0.274676;0.770183
0.316;0.275446;0.769684
0.317;0.276215;0.769187
0.318;0.276984;0.768691
0.319;0.277753;0.768197
0.32;0.278521;0.767703
0.321;0.279288;0.767211
0.322;0.280055;0.76672
0.323;0.280822;0.766231
0.324;0.281588;0.765742
0.325;0.282353;0.765255
0.326;0.283118;0.764769
0.327;0.283883;0.764284
0.328;0.284647;0.7638
0.329;0.28541;0.763318
0.33;0.286173;0.762837
0.331;0.286936;0.762357
0.332;0.287698;0.761878
0.333;0.28846;0.761401
0.334;0.289221;0.760924
0.335;0.289982;0.760449
0.336;0.290742;0.759975
0.337;0.291502;0.759503
0.338;0.292261;0.759031
0.339;0.29302;0.758561
0.34;0.293778;0.758092
0.341;0.294536;0.757624
0.342;0.295293;0.757157
0.343;0.29605;0.756691
0.344;0.296807;0.756227
0.345;0.297563;0.755764
0.346;0.298318;0.755302
0.347;0.299073;0.754841
0.348;0.299828;0.754382
0.349;0.300582;0.753923
0.35;0.301336;0.753466
0.351;0.302089;0.75301
0.352;0.302842;0.752555
0.353;0.303594;0.752101
0.354;0.304346;0.751649
0.355;0.305097;0.751197
0.356;0.305848;0.750747
0.357;0.306599;0.750298
0.358;0.307349;0.74985
0.359;0.308098;0.749403
0.36;0.308848;0.748958
0.361;0.309596;0.748513
0.362;0.310345;0.74807
0.363;0.311092;0.747628
0.364;0.31184;0.747187
0.365;0.312587;0.746747
0.366;0.313333;0.746308
0.367;0.314079;0.745871
0.368;0.314825;0.745435
0.369;0.31557;0.744999
0.37;0.316315;0.744565
0.371;0.317059;0.744132
0.372;0.317803;0.743701
0.373;0.318547;0.74327
0.374;0.31929;0.74284
0.375;0.320033;0.742412
0.376;0.320775;0.741985
0.377;0.321517;0.741559
0.378;0.322258;0.741134
0.379;0.322999;0.74071
0.38;0.323739;0.740287
0.381;0.324479;0.739866
0.382;0.325219;0.739445
0.383;0.325958;0.739026
0.384;0.326697;0.738607
0.385;0.327435;0.73819
0.386;0.328173;0.737774
0.387;0.328911;0.737359
0.388;0.329648;0.736946
0.389;0.330385;0.736533
0.39;0.331121;0.736121
0.391;0.331857;0.735711
0.392;0.332593;0.735301
0.393;0.333328;0.734893
0.394;0.334062;0.734486
0.395;0.334797;0.73408
0.396;0.335531;0.733675
0.397;0.336264;0.733271
0.398;0.336997;0.732868
0.399;0.33773;0.732467
0.4;0.338462;0.732066
0.401;0.339194;0.731667
0.402;0.339925;0.731268
0.403;0.340657;0.730871
0.404;0.341387;0.730475
0.405;0.342117;0.73008
0.406;0.342847;0.729686
0.407;0.343577;0.729293
0.408;0.344306;0.728901
0.409;0.345035;0.72851
0.41;0.345763;0.72812
0.411;0.346491;0.727731
0.412;0.347218;0.727344
0.413;0.347946;0.726957
0.414;0.348672;0.726572
0.415;0.349399;0.726188
0.416;0.350125;0.725804
0.417;0.35085;0.725422
0.418;0.351576;0.725041
0.419;0.3523;0.724661
0.42;0.353025;0.724282
0.421;0.353749;0.723904
0.422;0.354473;0.723527
0.423;0.355196;0.723151
0.424;0.355919;0.722776
0.425;0.356642;0.722402
0.426;0.357364;0.722029
0.427;0.358086;0.721658
0.428;0.358807;0.721287
0.429;0.359528;0.720917
0.43;0.360249;0.720549
0.431;0.360969;0.720181
0.432;0.361689;0.719815
0.433;0.362409;0.719449
0.434;0.363128;0.719085
0.435;0.363847;0.718722
0.436;0.364566;0.718359
0.437;0.365284;0.717998
0.438;0.366002;0.717638
0.439;0.366719;0.717278
0.44;0.367436;0.71692
0.441;0.368153;0.716563
0.442;0.368869;0.716207
0.443;0.369585;0.715852
0.444;0.370301;0.715498
0.445;0.371016;0.715145
0.446;0.371731;0.714792
0.447;0.372446;0.714441
0.448;0.37316;0.714091
0.449;0.373874;0.713742
0.45;0.374588;0.713394
0.451;0.375301;0.713047
0.452;0.376014;0.712701
0.453;0.376726;0.712356
