xi;vi1;vi2
2.415;1.78903;0.86397
2.416;1.78989;0.864083
2.417;1.79075;0.864194
2.418;1.79162;0.864306
2.419;1.79248;0.864417
2.42;1.79335;0.864528
2.421;1.79421;0.864639
2.422;1.79508;0.864749
2.423;1.79594;0.864859
2.424;1.79681;0.864969
2.425;1.79767;0.865079
2.426;1.79854;0.865188
2.427;1.7994;0.865297
2.428;1.80027;0.865405
2.429;1.80113;0.865513
2.43;1.802;0.865621
2.431;1.80286;0.865729
2.432;1.80373;0.865836
2.433;1.8046;0.865943
2.434;1.80546;0.86605
2.435;1.80633;0.866156
2.436;1.80719;0.866262
2.437;1.80806;0.866368
2.438;1.80893;0.866474
2.439;1.80979;0.866579
2.44;1.81066;0.866684
2.441;1.81153;0.866788
2.442;1.81239;0.866892
2.443;1.81326;0.866996
2.444;1.81413;0.8671
2.445;1.81499;0.867203
2.446;1.81586;0.867306
2.447;1.81673;0.867409
2.448;1.8176;0.867511
2.449;1.81846;0.867613
2.45;1.81933;0.867715
2.451;1.8202;0.867816
2.452;1.82107;0.867917
2.453;1.82193;0.868018
2.454;1.8228;0.868119
2.455;1.82367;0.868219
2.456;1.82454;0.868318
2.457;1.82541;0.868418
2.458;1.82628;0.868517
2.459;1.82714;0.868616
2.46;1.82801;0.868715
2.461;1.82888;0.868813
2.462;1.82975;0.868911
2.463;1.83062;0.869008
2.464;1.83149;0.869106
2.465;1.83236;0.869203
2.466;1.83323;0.869299
2.467;1.8341;0.869395
2.468;1.83497;0.869491
2.469;1.83584;0.869587
2.47;1.83671;0.869682
2.471;1.83758;0.869777
2.472;1.83845;0.869872
2.473;1.83932;0.869966
2.474;1.84019;0.87006
2.475;1.84106;0.870154
2.476;1.84193;0.870248
2.477;1.8428;0.870341
2.478;1.84367;0.870433
2.479;1.84454;0.870526
2.48;1.84541;0.870618
2.481;1.84628;0.87071
2.482;1.84715;0.870801
2.483;1.84802;0.870892
2.484;1.84889;0.870983
2.485;1.84976;0.871073
2.486;1.85063;0.871163
2.487;1.8515;0.871253
2.488;1.85237;0.871343
2.489;1.85325;0.871432
2.49;1.85412;0.871521
2.491;1.85499;0.871609
2.492;1.85586;0.871697
2.493;1.85673;0.871785
2.494;1.8576;0.871872
2.495;1.85848;0.871959
2.496;1.85935;0.872046
2.497;1.86022;0.872133
2.498;1.86109;0.872219
2.499;1.86197;0.872305
2.5;1.86284;0.87239
2.501;1.86371;0.872475
2.502;1.86458;0.87256
2.503;1.86545;0.872644
2.504;1.86633;0.872728
2.505;1.8672;0.872812
2.506;1.86807;0.872895
2.507;1.86895;0.872979
2.508;1.86982;0.873061
2.509;1.87069;0.873144
2.51;1.87157;0.873226
2.511;1.87244;0.873307
2.512;1.87331;0.873389
2.513;1.87419;0.87347
2.514;1.87506;0.873551
2.515;1.87593;0.873631
2.516;1.87681;0.873711
2.517;1.87768;0.873791
2.518;1.87855;0.87387
2.519;1.87943;0.873949
2.52;1.8803;0.874027
2.521;1.88118;0.874106
2.522;1.88205;0.874184
2.523;1.88292;0.874261
2.524;1.8838;0.874339
2.525;1.88467;0.874415
2.526;1.88555;0.874492
2.527;1.88642;0.874568
2.528;1.8873;0.874644
2.529;1.88817;0.87472
2.53;1.88905;0.874795
2.531;1.88992;0.87487
2.532;1.8908;0.874944
2.533;1.89167;0.875018
2.534;1.89255;0.875092
2.535;1.89342;0.875165
2.536;1.8943;0.875238
2.537;1.89517;0.875311
2.538;1.89605;0.875383
2.539;1.89692;0.875455
2.54;1.8978;0.875527
2.541;1.89867;0.875598
2.542;1.89955;0.875669
2.543;1.90042;0.87574
2.544;1.9013;0.87581
2.545;1.90218;0.87588
2.546;1.90305;0.87595
2.547;1.90393;0.876019
2.548;1.9048;0.876088
2.549;1.90568;0.876156
2.55;1.90656;0.876224
2.551;1.90743;0.876292
2.552;1.90831;0.876359
2.553;1.90919;0.876426
2.554;1.91006;0.876493
2.555;1.91094;0.876559
2.556;1.91181;0.876625
2.557;1.91269;0.876691
2.558;1.91357;0.876756
2.559;1.91445;0.876821
2.56;1.91532;0.876886
2.561;1.9162;0.87695
2.562;1.91708;0.877014
2.563;1.91795;0.877077
2.564;1.91883;0.87714
2.565;1.91971;0.877203
2.566;1.92058;0.877265
2.567;1.92146;0.877327
2.568;1.92234;0.877389
2.569;1.92322;0.87745
2.57;1.92409;0.877511
2.571;1.92497;0.877572
2.572;1.92585;0.877632
2.573;1.92673;0.877692
2.574;1.9276;0.877751
2.575;1.92848;0.87781
2.576;1.92936;0.877869
2.577;1.93024;0.877927
2.578;1.93112;0.877985
2.579;1.93199;0.878043
2.58;1.93287;0.8781
2.581;1.93375;0.878157
2.582;1.93463;0.878214
2.583;1.93551;0.87827
2.584;1.93638;0.878325
2.585;1.93726;0.878381
2.586;1.93814;0.878436
2.587;1.93902;0.878491
2.588;1.9399;0.878545
2.589;1.94078;0.878599
2.59;1.94166;0.878652
2.591;1.94253;0.878705
2.592;1.94341;0.878758
2.593;1.94429;0.878811
2.594;1.94517;0.878863
2.595;1.94605;0.878914
2.596;1.94693;0.878966
2.597;1.94781;0.879017
2.598;1.94869;0.879067
2.599;1.94957;0.879117
2.6;1.95044;0.879167
2.601;1.95132;0.879217
2.602;1.9522;0.879266
2.603;1.95308;0.879314
2.604;1.95396;0.879363
2.605;1.95484;0.879411
2.606;1.95572;0.879458
2.607;1.9566;0.879505
2.608;1.95748;0.879552
2.609;1.95836;0.879599
2.61;1.95924;0.879645
2.611;1.96012;0.87969
2.612;1.961;0.879736
2.613;1.96188;0.879781
2.614;1.96276;0.879825
2.615;1.96364;0.879869
2.616;1.96452;0.879913
2.617;1.9654;0.879956
2.618;1.96628;0.879999
2.619;1.96716;0.880042
2.62;1.96804;0.880084
2.621;1.96892;0.880126
2.622;1.9698;0.880168
2.623;1.97068;0.880209
2.624;1.97156;0.880249
2.625;1.97244;0.88029
2.626;1.97332;0.88033
2.627;1.9742;0.880369
2.628;1.97508;0.880408
2.629;1.97596;0.880447
2.63;1.97684;0.880486
2.631;1.97772;0.880524
2.632;1.9786;0.880561
2.633;1.97948;0.880598
2.634;1.98036;0.880635
2.635;1.98124;0.880672
2.636;1.98212;0.880708
2.637;1.983;0.880744
2.638;1.98389;0.880779
2.639;1.98477;0.880814
2.64;1.98565;0.880848
2.641;1.98653;0.880882
2.642;1.98741;0.880916
2.643;1.98829;0.880949
2.644;1.98917;0.880982
2.645;1.99005;0.881015
2.646;1.99093;0.881047
2.647;1.99181;0.881079
2.648;1.9927;0.88111
2.649;1.99358;0.881141
2.65;1.99446;0.881172
2.651;1.99534;0.881202
2.652;1.99622;0.881232
2.653;1.9971;0.881261
2.654;1.99798;0.881291
2.655;1.99886;0.881319
2.656;1.99974;0.881347
2.657;2.00063;0.881375
2.658;2.00151;0.881403
2.659;2.00239;0.88143
2.66;2.00327;0.881456
2.661;2.00415;0.881483
2.662;2.00503;0.881509
2.663;2.00592;0.881534
2.664;2.0068;0.881559
2.665;2.00768;0.881584
2.666;2.00856;0.881608
2.667;2.00944;0.881632
2.668;2.01032;0.881656
2.669;2.0112;0.881679
2.67;2.01209;0.881701
2.671;2.01297;0.881724
2.672;2.01385;0.881746
2.673;2.01473;0.881767
2.674;2.01561;0.881788
2.675;2.0165;0.881809
2.676;2.01738;0.881829
2.677;2.01826;0.881849
2.678;2.01914;0.881869
2.679;2.02002;0.881888
2.68;2.0209;0.881906
2.681;2.02179;0.881925
2.682;2.02267;0.881943
2.683;2.02355;0.88196
2.684;2.02443;0.881977
2.685;2.02531;0.881994
2.686;2.0262;0.88201
2.687;2.02708;0.882026
2.688;2.02796;0.882041
2.689;2.02884;0.882057
2.69;2.02972;0.882071
2.691;2.03061;0.882085
2.692;2.03149;0.882099
2.693;2.03237;0.882113
2.694;2.03325;0.882126
2.695;2.03413;0.882138
2.696;2.03502;0.882151
2.697;2.0359;0.882162
2.698;2.03678;0.882174
2.699;2.03766;0.882185
2.7;2.03855;0.882195
2.701;2.03943;0.882206
2.702;2.04031;0.882215
2.703;2.04119;0.882225
2.704;2.04207;0.882234
2.705;2.04296;0.882242
2.706;2.04384;0.88225
2.707;2.04472;0.882258
2.708;2.0456;0.882265
2.709;2.04649;0.882272
2.71;2.04737;0.882279
2.711;2.04825;0.882285
2.712;2.04913;0.882291
2.713;2.05002;0.882296
2.714;2.0509;0.882301
2.715;2.05178;0.882305
2.716;2.05266;0.882309
2.717;2.05354;0.882313
2.718;2.05443;0.882316
2.719;2.05531;0.882319
2.72;2.05619;0.882321
2.721;2.05707;0.882323
2.722;2.05796;0.882325
2.723;2.05884;0.882326
2.724;2.05972;0.882327
2.725;2.0606;0.882327
2.726;2.06149;0.882327
2.727;2.06237;0.882326
2.728;2.06325;0.882325
2.729;2.06413;0.882324
2.73;2.06501;0.882322
2.731;2.0659;0.88232
2.732;2.06678;0.882317
2.733;2.06766;0.882314
2.734;2.06854;0.882311
2.735;2.06943;0.882307
2.736;2.07031;0.882303
2.737;2.07119;0.882298
2.738;2.07207;0.882293
2.739;2.07296;0.882287
2.74;2.07384;0.882281
2.741;2.07472;0.882275
2.742;2.0756;0.882268
2.743;2.07648;0.882261
2.744;2.07737;0.882253
2.745;2.07825;0.882245
2.746;2.07913;0.882237
2.747;2.08001;0.882228
2.748;2.0809;0.882219
2.749;2.08178;0.882209
2.75;2.08266;0.882199
2.751;2.08354;0.882188
2.752;2.08442;0.882177
2.753;2.08531;0.882166
2.754;2.08619;0.882154
2.755;2.08707;0.882142
2.756;2.08795;0.882129
2.757;2.08884;0.882116
2.758;2.08972;0.882102
2.759;2.0906;0.882088
2.76;2.09148;0.882074
2.761;2.09236;0.882059
2.762;2.09325;0.882044
2.763;2.09413;0.882028
2.764;2.09501;0.882012
2.765;2.09589;0.881996
2.766;2.09677;0.881979
2.767;2.09766;0.881961
2.768;2.09854;0.881944
2.769;2.09942;0.881926
2.77;2.1003;0.881907
2.771;2.10118;0.881888
2.772;2.10207;0.881868
2.773;2.10295;0.881848
2.774;2.10383;0.881828
2.775;2.10471;0.881807
2.776;2.10559;0.881786
2.777;2.10647;0.881764
2.778;2.10736;0.881742
2.779;2.10824;0.88172
2.78;2.10912;0.881697
2.781;2.11;0.881674
2.782;2.11088;0.88165
2.783;2.11176;0.881626
2.784;2.11265;0.881601
2.785;2.11353;0.881576
2.786;2.11441;0.881551
2.787;2.11529;0.881525
2.788;2.11617;0.881498
2.789;2.11705;0.881471
2.79;2.11794;0.881444
2.791;2.11882;0.881417
2.792;2.1197;0.881389
2.793;2.12058;0.88136
2.794;2.12146;0.881331
2.795;2.12234;0.881302
2.796;2.12322;0.881272
2.797;2.1241;0.881242
2.798;2.12499;0.881211
2.799;2.12587;0.88118
2.8;2.12675;0.881148
2.801;2.12763;0.881116
2.802;2.12851;0.881084
2.803;2.12939;0.881051
2.804;2.13027;0.881018
2.805;2.13115;0.880984
2.806;2.13203;0.88095
2.807;2.13292;0.880915
2.808;2.1338;0.88088
2.809;2.13468;0.880845
2.81;2.13556;0.880809
2.811;2.13644;0.880773
2.812;2.13732;0.880736
2.813;2.1382;0.880699
2.814;2.13908;0.880661
2.815;2.13996;0.880623
2.816;2.14084;0.880585
2.817;2.14172;0.880546
2.818;2.1426;0.880506
2.819;2.14348;0.880467
2.82;2.14436;0.880426
2.821;2.14524;0.880386
2.822;2.14612;0.880345
2.823;2.14701;0.880303
2.824;2.14789;0.880261
2.825;2.14877;0.880219
2.826;2.14965;0.880176
2.827;2.15053;0.880133
2.828;2.15141;0.880089
2.829;2.15229;0.880045
2.83;2.15317;0.88
2.831;2.15405;0.879955
2.832;2.15493;0.879909
2.833;2.15581;0.879863
2.834;2.15669;0.879817
2.835;2.15757;0.87977
2.836;2.15845;0.879723
2.837;2.15933;0.879675
2.838;2.1602;0.879627
2.839;2.16108;0.879579
2.84;2.16196;0.87953
2.841;2.16284;0.87948
2.842;2.16372;0.87943
2.843;2.1646;0.87938
2.844;2.16548;0.879329
2.845;2.16636;0.879278
2.846;2.16724;0.879226
2.847;2.16812;0.879174
2.848;2.169;0.879122
2.849;2.16988;0.879069
2.85;2.17076;0.879015
2.851;2.17164;0.878961
2.852;2.17251;0.878907
2.853;2.17339;0.878852
2.854;2.17427;0.878797
2.855;2.17515;0.878741
2.856;2.17603;0.878685
2.857;2.17691;0.878629
2.858;2.17779;0.878572
2.859;2.17867;0.878514
2.86;2.17954;0.878456
2.861;2.18042;0.878398
2.862;2.1813;0.878339
2.863;2.18218;0.87828
2.864;2.18306;0.87822
2.865;2.18394;0.87816
2.866;2.18481;0.8781
2.867;2.18569;0.878039
2.868;2.18657;0.877977
2.869;2.18745;0.877916
2.87;2.18833;0.877853
2.871;2.1892;0.877791
2.872;2.19008;0.877727
2.873;2.19096;0.877664
2.874;2.19184;0.8776
2.875;2.19271;0.877535
2.876;2.19359;0.87747
2.877;2.19447;0.877405
2.878;2.19535;0.877339
2.879;2.19622;0.877272
2.88;2.1971;0.877206
2.881;2.19798;0.877138
2.882;2.19886;0.877071
2.883;2.19973;0.877003
2.884;2.20061;0.876934
2.885;2.20149;0.876865
2.886;2.20236;0.876795
2.887;2.20324;0.876726
2.888;2.20412;0.876655
2.889;2.20499;0.876584
2.89;2.20587;0.876513
2.891;2.20675;0.876441
2.892;2.20762;0.876369
2.893;2.2085;0.876297
2.894;2.20938;0.876224
2.895;2.21025;0.87615
2.896;2.21113;0.876076
2.897;2.212;0.876002
2.898;2.21288;0.875927
2.899;2.21376;0.875852
2.9;2.21463;0.875776
2.901;2.21551;0.8757
2.902;2.21638;0.875623
2.903;2.21726;0.875546
2.904;2.21813;0.875468
2.905;2.21901;0.87539
2.906;2.21988;0.875312
2.907;2.22076;0.875233
2.908;2.22163;0.875154
2.909;2.22251;0.875074
2.91;2.22339;0.874994
2.911;2.22426;0.874913
2.912;2.22513;0.874832
2.913;2.22601;0.87475
2.914;2.22688;0.874668
2.915;2.22776;0.874585
2.916;2.22863;0.874503
2.917;2.22951;0.874419
2.918;2.23038;0.874335
2.919;2.23126;0.874251
2.92;2.23213;0.874166
2.921;2.23301;0.874081
2.922;2.23388;0.873995
2.923;2.23475;0.873909
2.924;2.23563;0.873823
2.925;2.2365;0.873736
2.926;2.23737;0.873648
2.927;2.23825;0.87356
2.928;2.23912;0.873472
2.929;2.23999;0.873383
2.93;2.24087;0.873294
2.931;2.24174;0.873204
2.932;2.24261;0.873114
2.933;2.24349;0.873023
2.934;2.24436;0.872932
2.935;2.24523;0.87284
2.936;2.24611;0.872748
2.937;2.24698;0.872656
2.938;2.24785;0.872563
2.939;2.24872;0.87247
2.94;2.2496;0.872376
2.941;2.25047;0.872282
2.942;2.25134;0.872187
2.943;2.25221;0.872092
2.944;2.25309;0.871996
2.945;2.25396;0.8719
2.946;2.25483;0.871803
2.947;2.2557;0.871706
2.948;2.25657;0.871609
2.949;2.25744;0.871511
2.95;2.25832;0.871413
2.951;2.25919;0.871314
2.952;2.26006;0.871215
2.953;2.26093;0.871115
2.954;2.2618;0.871015
2.955;2.26267;0.870914
2.956;2.26354;0.870813
2.957;2.26441;0.870711
2.958;2.26528;0.870609
2.959;2.26615;0.870507
2.96;2.26702;0.870404
2.961;2.2679;0.870301
2.962;2.26877;0.870197
2.963;2.26964;0.870093
2.964;2.27051;0.869988
2.965;2.27138;0.869883
2.966;2.27225;0.869777
2.967;2.27311;0.869671
2.968;2.27398;0.869564
2.969;2.27485;0.869457
2.97;2.27572;0.86935
2.971;2.27659;0.869242
2.972;2.27746;0.869134
2.973;2.27833;0.869025
2.974;2.2792;0.868915
2.975;2.28007;0.868806
2.976;2.28094;0.868696
2.977;2.28181;0.868585
2.978;2.28267;0.868474
2.979;2.28354;0.868362
2.98;2.28441;0.86825
2.981;2.28528;0.868138
2.982;2.28615;0.868025
2.983;2.28702;0.867911
2.984;2.28788;0.867798
2.985;2.28875;0.867683
2.986;2.28962;0.867568
2.987;2.29049;0.867453
2.988;2.29135;0.867338
2.989;2.29222;0.867221
2.99;2.29309;0.867105
2.991;2.29396;0.866988
2.992;2.29482;0.86687
2.993;2.29569;0.866752
2.994;2.29656;0.866634
2.995;2.29742;0.866515
2.996;2.29829;0.866396
2.997;2.29916;0.866276
2.998;2.30002;0.866156
2.999;2.30089;0.866035
3;2.30175;0.865914
3.001;2.30262;0.865792
3.002;2.30349;0.86567
3.003;2.30435;0.865548
3.004;2.30522;0.865425
3.005;2.30608;0.865301
3.006;2.30695;0.865177
3.007;2.30781;0.865053
3.008;2.30868;0.864928
3.009;2.30954;0.864803
3.01;2.31041;0.864677
3.011;2.31127;0.864551
3.012;2.31214;0.864424
3.013;2.313;0.864297
3.014;2.31386;0.86417
3.015;2.31473;0.864042
3.016;2.31559;0.863913
3.017;2.31646;0.863784
3.018;2.31732;0.863655
3.019;2.31818;0.863525
3.02;2.31905;0.863395
3.021;2.31991;0.863264
3.022;2.32077;0.863133
3.023;2.32164;0.863001
3.024;2.3225;0.862869
3.025;2.32336;0.862737
3.026;2.32422;0.862604
3.027;2.32509;0.86247
3.028;2.32595;0.862336
3.029;2.32681;0.862202
3.03;2.32767;0.862067
3.031;2.32854;0.861932
3.032;2.3294;0.861796
3.033;2.33026;0.86166
3.034;2.33112;0.861523
3.035;2.33198;0.861386
3.036;2.33284;0.861248
3.037;2.33371;0.86111
3.038;2.33457;0.860972
3.039;2.33543;0.860833
3.04;2.33629;0.860693
3.041;2.33715;0.860553
3.042;2.33801;0.860413
3.043;2.33887;0.860272
3.044;2.33973;0.860131
3.045;2.34059;0.859989
3.046;2.34145;0.859847
3.047;2.34231;0.859705
3.048;2.34317;0.859561
3.049;2.34403;0.859418
3.05;2.34489;0.859274
3.051;2.34575;0.85913
3.052;2.34661;0.858985
3.053;2.34747;0.858839
3.054;2.34832;0.858693
3.055;2.34918;0.858547
3.056;2.35004;0.8584
3.057;2.3509;0.858253
3.058;2.35176;0.858106
3.059;2.35262;0.857958
3.06;2.35347;0.857809
3.061;2.35433;0.85766
3.062;2.35519;0.85751
3.063;2.35605;0.857361
3.064;2.3569;0.85721
3.065;2.35776;0.857059
3.066;2.35862;0.856908
3.067;2.35947;0.856756
3.068;2.36033;0.856604
3.069;2.36119;0.856451
3.07;2.36204;0.856298
3.071;2.3629;0.856145
3.072;2.36376;0.855991
3.073;2.36461;0.855836
3.074;2.36547;0.855681
3.075;2.36632;0.855526
3.076;2.36718;0.85537
3.077;2.36803;0.855214
3.078;2.36889;0.855057
3.079;2.36974;0.8549
3.08;2.3706;0.854742
3.081;2.37145;0.854584
3.082;2.37231;0.854425
3.083;2.37316;0.854266
3.084;2.37402;0.854107
3.085;2.37487;0.853947
3.086;2.37572;0.853787
3.087;2.37658;0.853626
3.088;2.37743;0.853464
3.089;2.37829;0.853303
3.09;2.37914;0.85314
3.091;2.37999;0.852978
3.092;2.38084;0.852815
3.093;2.3817;0.852651
3.094;2.38255;0.852487
3.095;2.3834;0.852323
3.096;2.38425;0.852158
3.097;2.38511;0.851992
3.098;2.38596;0.851826
3.099;2.38681;0.85166
3.1;2.38766;0.851493
3.101;2.38851;0.851326
3.102;2.38936;0.851158
3.103;2.39022;0.85099
3.104;2.39107;0.850822
3.105;2.39192;0.850653
3.106;2.39277;0.850483
3.107;2.39362;0.850313
3.108;2.39447;0.850143
3.109;2.39532;0.849972
3.11;2.39617;0.849801
3.111;2.39702;0.849629
3.112;2.39787;0.849457
3.113;2.39872;0.849284
3.114;2.39957;0.849111
3.115;2.40042;0.848938
3.116;2.40126;0.848764
3.117;2.40211;0.848589
3.118;2.40296;0.848414
3.119;2.40381;0.848239
3.12;2.40466;0.848063
3.121;2.40551;0.847887
3.122;2.40635;0.84771
3.123;2.4072;0.847533
3.124;2.40805;0.847355
3.125;2.4089;0.847177
3.126;2.40974;0.846999
3.127;2.41059;0.84682
3.128;2.41144;0.84664
3.129;2.41228;0.84646
3.13;2.41313;0.84628
3.131;2.41398;0.846099
3.132;2.41482;0.845918
3.133;2.41567;0.845736
3.134;2.41651;0.845554
3.135;2.41736;0.845372
3.136;2.4182;0.845189
3.137;2.41905;0.845005
3.138;2.41989;0.844821
3.139;2.42074;0.844637
3.14;2.42158;0.844452
3.141;2.42243;0.844267
3.142;2.42327;0.844081
3.143;2.42412;0.843895
3.144;2.42496;0.843708
3.145;2.4258;0.843521
3.146;2.42665;0.843333
3.147;2.42749;0.843146
3.148;2.42833;0.842957
3.149;2.42918;0.842768
3.15;2.43002;0.842579
3.151;2.43086;0.842389
3.152;2.4317;0.842199
3.153;2.43255;0.842008
3.154;2.43339;0.841817
3.155;2.43423;0.841626
3.156;2.43507;0.841433
3.157;2.43591;0.841241
3.158;2.43675;0.841048
3.159;2.43759;0.840855
3.16;2.43843;0.840661
3.161;2.43928;0.840467
3.162;2.44012;0.840272
3.163;2.44096;0.840077
3.164;2.4418;0.839881
3.165;2.44264;0.839685
3.166;2.44348;0.839489
3.167;2.44431;0.839292
3.168;2.44515;0.839094
3.169;2.44599;0.838897
3.17;2.44683;0.838698
3.171;2.44767;0.8385
3.172;2.44851;0.8383
3.173;2.44935;0.838101
3.174;2.45018;0.837901
3.175;2.45102;0.8377
3.176;2.45186;0.837499
3.177;2.4527;0.837298
3.178;2.45353;0.837096
3.179;2.45437;0.836894
3.18;2.45521;0.836691
3.181;2.45605;0.836488
3.182;2.45688;0.836284
3.183;2.45772;0.83608
3.184;2.45855;0.835876
3.185;2.45939;0.835671
3.186;2.46022;0.835465
3.187;2.46106;0.83526
3.188;2.4619;0.835053
3.189;2.46273;0.834847
3.19;2.46357;0.834639
3.191;2.4644;0.834432
3.192;2.46523;0.834224
3.193;2.46607;0.834015
3.194;2.4669;0.833806
3.195;2.46774;0.833597
3.196;2.46857;0.833387
3.197;2.4694;0.833177
3.198;2.47024;0.832966
3.199;2.47107;0.832755
3.2;2.4719;0.832544
3.201;2.47273;0.832331
3.202;2.47357;0.832119
3.203;2.4744;0.831906
3.204;2.47523;0.831693
3.205;2.47606;0.831479
3.206;2.47689;0.831265
3.207;2.47772;0.83105
3.208;2.47855;0.830835
3.209;2.47939;0.830619
3.21;2.48022;0.830403
3.211;2.48105;0.830187
3.212;2.48188;0.82997
3.213;2.48271;0.829753
3.214;2.48354;0.829535
3.215;2.48437;0.829317
3.216;2.48519;0.829098
3.217;2.48602;0.828879
3.218;2.48685;0.82866
3.219;2.48768;0.82844
3.22;2.48851;0.82822
3.221;2.48934;0.827999
3.222;2.49017;0.827778
3.223;2.49099;0.827556
3.224;2.49182;0.827334
3.225;2.49265;0.827111
3.226;2.49347;0.826888
3.227;2.4943;0.826665
3.228;2.49513;0.826441
3.229;2.49595;0.826217
3.23;2.49678;0.825992
3.231;2.49761;0.825767
3.232;2.49843;0.825541
3.233;2.49926;0.825315
3.234;2.50008;0.825089
3.235;2.50091;0.824862
3.236;2.50173;0.824634
3.237;2.50256;0.824407
3.238;2.50338;0.824178
3.239;2.5042;0.82395
3.24;2.50503;0.823721
3.241;2.50585;0.823491
3.242;2.50668;0.823261
3.243;2.5075;0.823031
3.244;2.50832;0.8228
3.245;2.50914;0.822569
3.246;2.50997;0.822337
3.247;2.51079;0.822105
3.248;2.51161;0.821873
3.249;2.51243;0.82164
3.25;2.51325;0.821406
3.251;2.51408;0.821172
3.252;2.5149;0.820938
3.253;2.51572;0.820704
3.254;2.51654;0.820468
3.255;2.51736;0.820233
3.256;2.51818;0.819997
3.257;2.519;0.819761
3.258;2.51982;0.819524
3.259;2.52064;0.819286
3.26;2.52146;0.819049
3.261;2.52228;0.818811
3.262;2.52309;0.818572
3.263;2.52391;0.818333
3.264;2.52473;0.818094
3.265;2.52555;0.817854
3.266;2.52637;0.817614
3.267;2.52718;0.817373
3.268;2.528;0.817132
3.269;2.52882;0.81689
3.27;2.52964;0.816648
3.271;2.53045;0.816406
3.272;2.53127;0.816163
3.273;2.53208;0.81592
3.274;2.5329;0.815676
3.275;2.53372;0.815432
3.276;2.53453;0.815188
3.277;2.53535;0.814943
3.278;2.53616;0.814697
3.279;2.53698;0.814451
3.28;2.53779;0.814205
3.281;2.5386;0.813959
3.282;2.53942;0.813712
3.283;2.54023;0.813464
3.284;2.54104;0.813216
3.285;2.54186;0.812968
3.286;2.54267;0.812719
3.287;2.54348;0.81247
3.288;2.5443;0.81222
3.289;2.54511;0.81197
3.29;2.54592;0.81172
3.291;2.54673;0.811469
3.292;2.54754;0.811218
3.293;2.54835;0.810966
3.294;2.54916;0.810714
3.295;2.54997;0.810461
3.296;2.55078;0.810208
3.297;2.5516;0.809955
3.298;2.5524;0.809701
3.299;2.55321;0.809447
3.3;2.55402;0.809192
3.301;2.55483;0.808937
3.302;2.55564;0.808682
3.303;2.55645;0.808426
3.304;2.55726;0.80817
3.305;2.55807;0.807913
3.306;2.55887;0.807656
3.307;2.55968;0.807398
3.308;2.56049;0.80714
3.309;2.5613;0.806882
3.31;2.5621;0.806623
3.311;2.56291;0.806364
3.312;2.56372;0.806104
3.313;2.56452;0.805844
3.314;2.56533;0.805583
3.315;2.56613;0.805323
3.316;2.56694;0.805061
3.317;2.56774;0.8048
3.318;2.56855;0.804537
3.319;2.56935;0.804275
3.32;2.57016;0.804012
3.321;2.57096;0.803748
3.322;2.57176;0.803485
3.323;2.57257;0.803221
3.324;2.57337;0.802956
3.325;2.57417;0.802691
3.326;2.57498;0.802425
3.327;2.57578;0.80216
3.328;2.57658;0.801893
3.329;2.57738;0.801627
3.33;2.57818;0.80136
3.331;2.57898;0.801092
3.332;2.57979;0.800824
3.333;2.58059;0.800556
3.334;2.58139;0.800287
3.335;2.58219;0.800018
3.336;2.58299;0.799748
3.337;2.58379;0.799479
3.338;2.58459;0.799208
3.339;2.58538;0.798937
3.34;2.58618;0.798666
3.341;2.58698;0.798395
3.342;2.58778;0.798123
3.343;2.58858;0.79785
3.344;2.58938;0.797577
3.345;2.59017;0.797304
3.346;2.59097;0.797031
3.347;2.59177;0.796757
3.348;2.59256;0.796482
3.349;2.59336;0.796207
3.35;2.59416;0.795932
3.351;2.59495;0.795657
3.352;2.59575;0.79538
3.353;2.59654;0.795104
3.354;2.59734;0.794827
3.355;2.59813;0.79455
3.356;2.59893;0.794272
3.357;2.59972;0.793994
3.358;2.60051;0.793716
3.359;2.60131;0.793437
3.36;2.6021;0.793158
3.361;2.60289;0.792878
3.362;2.60369;0.792598
3.363;2.60448;0.792318
3.364;2.60527;0.792037
3.365;2.60606;0.791755
3.366;2.60686;0.791474
3.367;2.60765;0.791192
3.368;2.60844;0.790909
3.369;2.60923;0.790626
3.37;2.61002;0.790343
3.371;2.61081;0.790059
3.372;2.6116;0.789775
3.373;2.61239;0.789491
3.374;2.61318;0.789206
3.375;2.61397;0.788921
3.376;2.61476;0.788635
3.377;2.61554;0.788349
3.378;2.61633;0.788063
3.379;2.61712;0.787776
3.38;2.61791;0.787489
3.381;2.6187;0.787201
3.382;2.61948;0.786913
3.383;2.62027;0.786625
3.384;2.62106;0.786336
3.385;2.62184;0.786047
3.386;2.62263;0.785757
3.387;2.62341;0.785467
3.388;2.6242;0.785177
3.389;2.62498;0.784886
3.39;2.62577;0.784595
3.391;2.62655;0.784303
3.392;2.62734;0.784011
3.393;2.62812;0.783719
3.394;2.6289;0.783426
3.395;2.62969;0.783133
3.396;2.63047;0.78284
3.397;2.63125;0.782546
3.398;2.63204;0.782252
3.399;2.63282;0.781957
3.4;2.6336;0.781662
3.401;2.63438;0.781367
3.402;2.63516;0.781071
3.403;2.63594;0.780775
3.404;2.63672;0.780478
3.405;2.6375;0.780181
3.406;2.63828;0.779884
3.407;2.63906;0.779586
3.408;2.63984;0.779288
3.409;2.64062;0.778989
3.41;2.6414;0.77869
3.411;2.64218;0.778391
3.412;2.64296;0.778091
3.413;2.64374;0.777791
3.414;2.64451;0.777491
